Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42647492,41454761,40578842,40000412,39068979,37856121,36743039,35688935,34700612,33831764,32792523,31622704,30560034,29347708,28284089,27466101,26482622,25909852,25424094,24404567,23560654,22733049,21378117,20284307,20130327,19887785,19159996,18452091,17763266,17065836,16250794,14943172,13278974,12238879,12045660,11874088,11523298,11387818,11420074,11426852,11190221,10917982,10991378,11937581,13169311,13655567,13611441,13340756,13059851,12773954,12469127,12157999,11853696,11567667,11290128,11017409,10756922,10505959,10266395,10036008,9814318,9604487,9404406,9214083,9035043
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,66.035,65.617,60.417,61.454,62.941,62.443,62.406,62.646,62.27,62.26,62.188,61.735,61.25,60.702,60.248,59.708,58.956,58.553,58.247,57.81,57.171,56.225,55.511,55.005,54.532,52.487,53.212,52.83,52.103,50.969,51.021,46.569,45.521,45.118,44.496,43.238,38.831,38.4,32.132,31.473,36.517,36.058,39.406,39.258,38.844,40.086,41.082,40.518,39.994,39.469,38.951,38.423,37.932,37.46,36.979,36.51,36.042,35.583,35.124,34.673,34.201,33.757,33.291,32.799
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,64.467,63.941,57.052,58.455,59.91,59.175,59.388,60.661,60.363,60.495,60.534,60.099,59.625,59.097,58.681,57.984,57.122,56.974,56.88,56.519,55.849,54.986,53.941,53.463,53.102,50.636,51.725,51.26,50.536,48.883,49.755,43.765,42.959,42.712,42.132,40.742,35.601,35.27,28.393,27.823,33.599,33.251,37.433,37.428,37.09,38.855,40.363,39.787,39.261,38.734,38.213,37.681,37.202,36.748,36.287,35.825,35.324,34.877,34.438,34.004,33.543,33.098,32.626,32.136
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,67.536,67.236,64.079,64.656,66.144,65.942,65.606,64.64,64.178,64.009,63.814,63.344,62.852,62.283,61.791,61.428,60.804,60.123,59.588,59.073,58.472,57.442,57.089,56.555,55.966,54.392,54.72,54.426,53.694,53.135,52.296,49.607,48.282,47.703,47.042,45.962,42.603,42.072,37.101,36.422,40.093,39.518,41.695,41.379,40.881,41.479,41.88,41.333,40.813,40.291,39.778,39.255,38.752,38.261,37.758,37.281,36.851,36.38,35.9,35.428,34.945,34.502,34.043,33.549
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,2.26694373649188,-6.24017199240269,-20.7388393676343,-2.35110067203466,3.91160341625552,1.18922812944517,2.6470032027451,2.26031420279821,1.45131466066431,2.72454336219565,5.60074465863221,12.7522870926697,0.426354776777345,14.3624414710737,21.3905283926492,3.92498381999467,13.8263195471281,5.35740324748592,11.2297148272859,1.41411799339429,8.83227780288267,28.6000011706788,-9.4319740700862,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.388419486435,4.37077621707188,4.35612777763319,4.37770795171109,4.43914504829198,4.47933729391896,4.49396889834487,4.51402627677695,4.54351582672391,4.58644314291051,4.62696994412791,4.65403911752632,4.67052179557662,4.67814503564169,4.6857602031036,4.69716506712254,4.71178807569322,4.72854695742565,4.74549781638364,4.76030753854437,4.77063070542604,4.77281869463128,4.76644897360256,4.75504748362933,4.74077396485904,4.72214961527294,4.70005695823933,4.67498487040001,4.64444093224788,4.61138198547922,4.57603372103597,4.53904164372607,4.50974098903797,4.49160395158615,4.47790881741105,4.46622971284846,4.4584083090799,4.47157082528498,4.50327398425093,4.56974700710311,4.67395898689905,4.75827707854952,4.81870229007634,4.86620101114549,4.89422495246609,4.92122814263453,4.94086745882622,4.94737887942241,4.94936349748289,4.95375897619434,4.9605227965993,4.97009804586322,4.98193176224362,4.99330965814889,5.00236018280387,5.00886640348956,5.01248531013096,5.01390445065547,5.01582479203084,5.01989044519751,5.02945951585938,5.04656900335327,5.06917574290293,5.09290674973051,5.11201905233701
Albania,ALB,"Population, total",SP.POP.TOTL,2714617,2745972,2777689,2811666,2837849,2854191,2866376,2873457,2876101,2880703,2889104,2895092,2900401,2905195,2913021,2927519,2947314,2970017,2992547,3011487,3026939,3039616,3051010,3060173,3089027,3108778,3128530,3148281,3168033,3187784,3207536,3227287,3247039,3266790,3286542,3227943,3142336,3083605,3022635,2964762,2904429,2843960,2784278,2726056,2671997,2617832,2566266,2513546,2458526,2404831,2350124,2296752,2243126,2187853,2135479,2081695,2022272,1965598,1914573,1864791,1814135,1762621,1711319,1659800,1608800
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,79.602,78.769,76.844,77.824,79.467,79.238,78.9,78.643,78.358,78.029,77.995,78.084,78.303,78.414,78.509,78.248,77.691,76.994,76.427,75.951,75.557,75.299,75.083,74.826,74.568,74.357,73.383,74.113,74.022,73.837,73.638,73.303,73.001,72.71,72.457,72.217,71.981,71.665,71.282,70.984,70.705,70.425,70.145,69.903,69.617,69.367,68.992,68.57,68.12,67.633,67.107,66.526,65.896,65.234,64.538,63.788,62.976,62.149,61.273,60.404,59.479,58.494,57.488,56.413
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,77.728,76.751,74.742,75.429,77.834,77.448,76.997,76.662,76.281,75.83,75.666,75.66,75.792,75.825,75.842,75.531,74.922,74.183,73.663,73.242,72.864,72.529,72.204,71.804,71.405,71.092,69.866,70.798,70.734,70.566,70.38,70.014,69.705,69.412,69.174,68.94,68.727,68.437,68.115,67.867,67.658,67.441,67.21,67.04,66.828,66.625,66.271,65.861,65.425,64.954,64.442,63.87,63.246,62.581,61.888,61.151,60.364,59.543,58.677,57.824,56.938,56,55.028,54.005
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,81.446,80.781,79.002,80.345,81.06,81.001,80.795,80.625,80.451,80.267,80.387,80.589,80.916,81.108,81.282,81.076,80.584,79.943,79.303,78.753,78.329,78.142,78.031,77.926,77.822,77.725,77.052,77.533,77.407,77.206,77,76.72,76.452,76.195,75.956,75.726,75.477,75.138,74.684,74.329,73.97,73.618,73.287,72.967,72.597,72.269,71.852,71.399,70.918,70.4,69.844,69.246,68.612,67.946,67.237,66.476,65.642,64.814,63.934,63.048,62.086,61.047,59.995,58.877
